match_id,player_id,player,team,goal,np_goal,shot,penalty,xg,np_xg,pass_att,pass_cmp,assist,key_pass,prog_pass,prog_carry,dribble_cmp,pressure,tackle,interception,recovery,minutes
3912592,4654.0,Nikita Parris,Manchester United W,0,0,2,0,0.097771988,0.097771988,11,7,0,1,2,1,0,2,0,0,3,29.6
3912592,4984.0,Rachel Corsie,Aston Villa W,0,0,1,0,0.049425438,0.049425438,39,34,0,1,9,3,0,8,2,0,3,100.8
3912592,5058.0,Rachel Daly,Aston Villa W,1,1,3,0,0.19408110900000003,0.19408110900000003,25,15,0,0,1,0,1,25,1,0,4,98.8
3912592,8297.0,Adriana Kristina Leon,Aston Villa W,0,0,0,0,0.0,0.0,16,11,1,0,0,1,1,10,2,0,2,33.8
3912592,10192.0,Jordan Nobbs,Aston Villa W,0,0,0,0,0.0,0.0,8,4,0,0,0,0,0,0,0,0,2,5.2
3912592,15562.0,Lucy Staniforth,Aston Villa W,0,0,1,0,0.018487575,0.018487575,45,33,0,2,4,0,0,29,2,0,7,100.8
3912592,15571.0,Danielle Turner,Aston Villa W,0,0,1,0,0.034177877,0.034177877,34,30,0,0,6,2,0,15,5,2,2,100.8
3912592,15575.0,Gabrielle George,Manchester United W,0,0,1,0,0.04246144,0.04246144,57,46,0,2,9,4,2,15,2,1,3,100.8
3912592,17275.0,Hannah Jayne Blundell,Manchester United W,0,0,0,0,0.0,0.0,62,48,0,0,5,0,0,18,2,0,9,100.8
3912592,18153.0,Alisha Lehmann,Aston Villa W,0,0,2,0,0.31839333000000003,0.31839333000000003,13,9,0,0,0,0,0,25,2,0,3,67.0
3912592,19500.0,Sarah Emma Mayling,Aston Villa W,0,0,0,0,0.0,0.0,44,36,0,1,8,0,1,30,1,2,1,100.8
3912592,19501.0,Hayley Ladd,Manchester United W,0,0,2,0,0.118404376,0.118404376,24,23,0,0,2,0,0,22,0,2,5,81.0
3912592,22337.0,Maya Le Tissier,Manchester United W,0,0,0,0,0.0,0.0,63,56,0,0,13,1,0,6,1,0,3,100.8
3912592,25513.0,Lucía García Córdoba,Manchester United W,1,1,4,0,0.289276744,0.289276744,34,29,0,3,0,4,1,27,3,1,10,100.8
3912592,25543.0,Geyse da Silva Ferreira,Manchester United W,0,0,2,0,0.152403244,0.152403244,15,8,0,0,1,7,0,16,1,0,8,66.7
3912592,31527.0,Ebony Salmon,Aston Villa W,0,0,0,0,0.0,0.0,4,2,0,1,0,1,1,10,1,0,1,54.3
3912592,31532.0,Kirsty Hanson,Aston Villa W,0,0,1,0,0.025754403,0.025754403,30,20,0,1,3,3,0,26,1,0,4,100.8
3912592,31534.0,Ella Toone,Manchester United W,0,0,2,0,0.10119146000000001,0.10119146000000001,42,35,0,3,9,1,1,26,1,0,2,100.8
3912592,31536.0,Millie Turner,Manchester United W,0,0,4,0,0.381403556,0.381403556,70,65,0,1,10,1,0,4,0,1,3,100.8
3912592,31538.0,Mary Alexandra Earps,Manchester United W,0,0,0,0,0.0,0.0,26,23,0,0,3,0,0,0,0,0,3,100.8
3912592,31539.0,Leah Galton,Manchester United W,0,0,3,0,0.177627934,0.177627934,35,27,0,1,2,1,2,12,2,0,5,98.7
3912592,31540.0,Katie Zelem,Manchester United W,0,0,1,0,0.06617957,0.06617957,58,42,0,4,6,0,2,32,7,0,4,100.8
3912592,31563.0,Rachel Williams,Manchester United W,1,1,3,0,0.31128702,0.31128702,7,5,0,0,0,0,0,6,0,0,5,34.1
3912592,32339.0,Daphne van Domselaar,Aston Villa W,0,0,0,0,0.0,0.0,45,32,0,0,9,0,0,0,0,0,8,100.8
3912592,33675.0,Laura Madison Blindkilde Brown,Aston Villa W,0,0,0,0,0.0,0.0,16,11,0,0,0,1,0,18,1,1,1,46.0
3912592,78072.0,Anna Patten,Aston Villa W,0,0,0,0,0.0,0.0,44,33,0,0,9,2,2,7,3,0,7,100.8
3912592,135947.0,Lucy Parker,Aston Villa W,0,0,0,0,0.0,0.0,23,15,0,1,2,2,5,22,2,0,4,94.5
3912592,401932.0,Hinata Miyazawa,Manchester United W,0,0,1,0,0.028824951,0.028824951,6,3,0,0,0,0,0,9,1,0,1,19.8
3912593,5078.0,Alanna Stephanie Kennedy,Manchester City WFC,0,0,1,0,0.14416097,0.14416097,76,68,0,0,14,4,1,7,1,1,0,97.2
3912593,10163.0,Leila Ouahabi El Ouahabi,Manchester City WFC,0,0,1,0,0.026785182,0.026785182,99,92,0,0,4,2,1,9,3,2,6,95.5
3912593,10179.0,Lisa Evans,West Ham United LFC,0,0,1,0,0.03034616,0.03034616,37,24,0,2,4,1,1,27,1,1,2,97.2
3912593,10196.0,Kirsty Smith,West Ham United LFC,0,0,0,0,0.0,0.0,32,20,0,0,7,7,1,23,1,0,3,97.2
3912593,10252.0,Alex Greenwood,Manchester City WFC,0,0,0,0,0.0,0.0,116,102,0,1,7,0,0,8,1,3,12,97.2
3912593,10650.0,Jill Roord,Manchester City WFC,1,1,4,0,0.53414353,0.53414353,60,54,0,1,5,3,3,17,1,0,6,88.0
3912593,15555.0,Lauren Hemp,Manchester City WFC,1,1,5,0,0.571396852,0.571396852,24,20,0,0,0,6,2,15,1,0,3,97.2
3912593,15570.0,Chloe Kelly,Manchester City WFC,0,0,1,1,0.7835,0.0,43,30,0,3,3,4,0,15,0,0,2,74.7
3912593,15573.0,Abbey-Leigh Stringer,West Ham United LFC,0,0,0,0,0.0,0.0,26,21,0,0,3,0,1,19,1,2,2,76.0
3912593,23320.0,Melisa Filis,West Ham United LFC,0,0,0,0,0.0,0.0,22,14,0,0,2,0,0,23,0,0,2,75.8
3912593,25624.0,Risa Shimizu,West Ham United LFC,0,0,0,0,0.0,0.0,44,34,0,1,14,3,0,22,3,2,1,97.2
3912593,25632.0,Yui Hasegawa,Manchester City WFC,0,0,0,0,0.0,0.0,100,95,0,1,5,1,3,24,4,3,11,97.2
3912593,25834.0,Viviane Asseyi,West Ham United LFC,0,0,2,0,0.075260439,0.075260439,20,16,0,2,4,2,0,25,0,1,3,97.2
3912593,31157.0,Hawa Cissoko,West Ham United LFC,0,0,0,0,0.0,0.0,23,21,0,1,3,3,0,21,3,1,9,97.2
3912593,32210.0,Laia Aleixandri López,Manchester City WFC,0,0,2,0,0.144863244,0.144863244,96,85,2,1,13,5,1,16,3,1,9,97.2
3912593,35693.0,Mary Boio Fowler,Manchester City WFC,0,0,1,0,0.11610049,0.11610049,47,39,0,1,0,2,3,8,0,0,8,97.2
3912593,42787.0,Mackenzie Arnold,West Ham United LFC,0,0,0,0,0.0,0.0,42,33,0,0,12,0,0,0,0,0,6,97.2
3912593,46635.0,Emma Harries,West Ham United LFC,0,0,1,0,0.10740072,0.10740072,9,5,0,0,0,0,0,12,1,0,2,37.6
3912593,49938.0,Deyna Cristina Castellanos Naujenis,Manchester City WFC,0,0,3,0,0.103957889,0.103957889,50,40,0,3,3,0,1,26,0,0,6,82.3
3912593,50193.0,Anouk Denton,West Ham United LFC,0,0,0,0,0.0,0.0,8,7,0,1,0,1,0,12,1,0,0,21.2
3912593,62666.0,Ingrid Filippa Angeldal,Manchester City WFC,0,0,1,0,0.010822548,0.010822548,11,10,0,0,1,1,0,1,0,0,1,9.2
3912593,92248.0,Khiara Keating,Manchester City WFC,0,0,0,0,0.0,0.0,29,21,0,0,9,0,0,0,0,0,0,97.2
3912593,131653.0,Honoka Hayashi,West Ham United LFC,0,0,0,0,0.0,0.0,29,21,0,0,3,1,1,32,3,1,3,97.2
3912593,191851.0,Julie Blakstad,Manchester City WFC,0,0,0,0,0.0,0.0,14,11,0,0,1,0,0,3,1,0,4,15.0
3912593,221888.0,Kerstin Yasmijn Casparij,Manchester City WFC,0,0,0,0,0.0,0.0,14,13,0,0,0,1,1,3,0,0,0,22.6
3912593,322325.0,Keira Flannery,West Ham United LFC,0,0,0,0,0.0,0.0,10,6,0,0,0,1,0,17,3,0,4,21.4
3912593,370018.0,Shannon Cooke,West Ham United LFC,0,0,1,0,0.0045214747,0.0045214747,40,30,0,0,6,4,0,17,2,0,7,97.2
3912593,401930.0,Riko Ueki,West Ham United LFC,0,0,2,0,0.12136584,0.12136584,13,7,0,0,0,0,0,25,1,3,0,59.6
3912594,4865.0,Josie Green,Leicester City WFC,0,0,0,0,0.0,0.0,36,29,0,1,8,3,0,3,0,1,6,52.5
3912594,10100.0,Janice Cayman,Leicester City WFC,0,0,2,0,0.15814903,0.15814903,57,42,0,1,3,3,0,18,1,2,6,101.5
3912594,10260.0,Lena Petermann,Leicester City WFC,1,1,3,0,0.45642008,0.45642008,24,17,0,1,2,2,1,15,1,1,1,68.3
3912594,15629.0,Satara Murray,Bristol City WFC,0,0,1,0,0.09271169,0.09271169,21,16,0,0,1,1,0,10,0,1,3,101.5
3912594,15706.0,Rachel Furness,Bristol City WFC,0,0,0,0,0.0,0.0,21,11,0,0,1,0,1,12,2,0,2,77.9
3912594,15716.0,Emily Syme,Bristol City WFC,0,0,0,0,0.0,0.0,9,7,0,0,0,1,0,11,1,0,2,39.6
3912594,15720.0,Sophie Howard,Leicester City WFC,0,0,2,0,0.121577095,0.121577095,53,44,0,0,9,3,0,6,0,2,3,101.5
3912594,15788.0,Amalie Grønbak Thestrup,Bristol City WFC,1,0,2,1,0.846757754,0.063257754,12,8,0,0,0,0,0,16,2,2,0,89.3
3912594,16374.0,Aileen Whelan,Leicester City WFC,0,0,3,0,0.235102193,0.235102193,33,26,0,0,2,0,0,25,3,1,5,101.5
3912594,18253.0,Hannah Cain,Leicester City WFC,0,0,0,0,0.0,0.0,11,3,0,0,0,0,0,6,0,0,5,33.2
3912594,19417.0,Amy Rodgers,Bristol City WFC,0,0,0,0,0.0,0.0,13,9,0,1,0,1,0,19,2,0,3,61.9
3912594,19499.0,Shania Hayles,Bristol City WFC,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,2,0,0,2,11.5
